OpenTime,Open,High,Low,Close,Volume,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span
2020-11-26 19:00:00,0.29969,0.30467,0.29433,0.30379,563197.80000000,,,,,0.31216
2020-11-26 20:00:00,0.30259,0.31938,0.30259,0.31771,1007588.90000000,,,,,0.30735
2020-11-26 21:00:00,0.3188,0.32,0.31123,0.31161,1192916.90000000,,,,,0.30694
2020-11-26 22:00:00,0.31275,0.3239,0.31185,0.31751,654854.10000000,,,,,0.30509
2020-11-26 23:00:00,0.31679,0.31704,0.31144,0.31677,551539.00000000,,,,,0.30643
2020-11-27 00:00:00,0.31678,0.328,0.31266,0.32736,937262.40000000,,,,,0.30544
2020-11-27 01:00:00,0.32792,0.32882,0.32378,0.3255,328101.50000000,,,,,0.30504
2020-11-27 02:00:00,0.32504,0.32664,0.3152,0.31642,448191.80000000,,,,,0.30072
2020-11-27 03:00:00,0.31707,0.32136,0.31672,0.31779,254003.90000000,,,,,0.30083
2020-11-27 04:00:00,0.31782,0.32214,0.31729,0.3175,344994.40000000,,,,,0.30615
2020-11-27 05:00:00,0.3175,0.3256,0.31685,0.32349,377672.50000000,,,,,0.30912
2020-11-27 06:00:00,0.32358,0.32739,0.32026,0.32433,267628.00000000,,,,,0.30865
2020-11-27 07:00:00,0.32454,0.32455,0.31562,0.31656,332935.90000000,,,,,0.3177
2020-11-27 08:00:00,0.31674,0.31693,0.30051,0.30472,850028.70000000,,,,,0.31977
2020-11-27 09:00:00,0.30471,0.312,0.30204,0.30313,506971.10000000,,,,,0.3249
2020-11-27 10:00:00,0.30252,0.30924,0.30247,0.30873,372720.70000000,,,,,0.31808
2020-11-27 11:00:00,0.30819,0.30888,0.302,0.30307,233745.30000000,,,,,0.3192
2020-11-27 12:00:00,0.3028,0.31125,0.30218,0.31057,268070.60000000,,,,,0.3207
2020-11-27 13:00:00,0.31004,0.31356,0.30839,0.30916,301995.10000000,,,,,0.32089
2020-11-27 14:00:00,0.30884,0.31016,0.30436,0.3061,253317.50000000,0.311575,,,,0.31664
2020-11-27 15:00:00,0.30571,0.30599,0.29429,0.29429,1037167.20000000,0.311555,,,,0.31698
2020-11-27 16:00:00,0.29424,0.30379,0.29196,0.30379,417440.00000000,0.31039,,,,0.3156
